"Source:","C:\Users\Danyal\Documents\SMU\d4100_mod_board_full\d4100_mod_board_full.sch"
"Date:","7/29/2019 13:02:16"
"Tool:","Eeschema (5.1.0)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","53"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C102, C101, ","2","4u7","CP","Capacitors_Tantalum_SMD:CP_Tantalum_Case-C_EIA-6032-28_Reflow","Polarized capacitor","https://www.mouser.com/ProductDetail/AVX/TPSC475K035R0600?qs=%2Fha2pyFaduglChbUjLQpjYi93MlbS%2F0%2FZAO9XOBpQeTQ9QaxImqcQA%3D%3D"
"C202, C201, ","2","22u","C","Capacitors_SMD:C_1210_HandSoldering","Unpolarized capacitor","https://www.mouser.com/ProductDetail/Murata/GRM32ER61C226ME20L/?qs=HkGFrfc5riBeJtarl5CPzg%3D%3D&gclid=Cj0KCQjwsvrpBRCsARIsAKBR_0KF6AfDfabdxr02yOgihx2R0Uvg-qnD9VgowjwK6CU8cLzDABy6CzAaAtyBEALw_wcB"
"C203, C206, ","2","4u7","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor","https://www.mouser.com/ProductDetail/Taiyo-Yuden/TMK212BJ475KG-T?qs=PzICbMaShUfa044ELrBgRg%3D%3D&gclid=Cj0KCQjwsvrpBRCsARIsAKBR_0LSS7oH0C5zCS-FDba_rDCji67HTHapJlYj5brtUDGlW6jzWG8qcxIaAvc5EALw_wcB"
"C204, ","1","2u2","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor","https://www.mouser.com/ProductDetail/Taiyo-Yuden/EMK212BJ225KG-T?qs=I6KAKw0tg2wY60Dl46zP7Q%3D%3D"
"C205, ","1","470n","C_Small","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor, small symbol","https://www.mouser.com/ProductDetail/Taiyo-Yuden/TMK212BJ474KD-T?qs=PzICbMaShUcnyRLJVHq5%252BA%3D%3D"
"C207, ","1","220p","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor","https://www.mouser.com/ProductDetail/KEMET/C0805C221J5GAC?qs=sGAEpiMZZMs0AnBnWHyRQI9zuYIiQALC5u8FH55cggA%3D"
"C208, C209, C210, C211, C304, C301, C302, ","7","10u","C","Capacitors_SMD:C_1210_HandSoldering","Unpolarized capacitor","https://www.mouser.com/ProductDetail/Murata-Electronics/GRM32ER71J106MA12L?qs=sGAEpiMZZMs0AnBnWHyRQKFZIQ7b73cdPZye8iaoHsoUfxkQASCnQg%3D%3D"
"C303, ","1","100n","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor","https://www.mouser.com/ProductDetail/KEMET/C0805C104M5RACTU?qs=sGAEpiMZZMs0AnBnWHyRQFCCI5cSbRT%2Fg9XLK7yXuZY%3D"
"D102, D101, ","2","BZV55B27","D_Zener","Diodes_SMD:D_MiniMELF","Zener diode","https://www.mouser.com/ProductDetail/Taiwan-Semiconductor/BZV55B27-L1?qs=sGAEpiMZZMtQ8nqTKtFS%2FBBvJ4zpFTk1FiiiGr9sANE%3D"
"F102, F101, ","2","Polyfuse","Polyfuse","Fuse_Holders_and_Fuses:Fuse_SMD1206_HandSoldering","Resettable fuse, polymeric positive temperature coefficient","https://www.mouser.com/ProductDetail/652-MF-NSHT016KX-2"
"H103, H105, H101, H102, H104, H106, ","6","M3","MountingHole","Mounting_Holes:MountingHole_3.2mm_M3","Mounting Hole without connection",""
"J101, ","1","Conn_01x02","Conn_01x02_Female","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","Generic connector, single row, 01x02",""
"J103, J102, ","2","Pogo_Pin","Conn_01x01_Male","d4100_mod_board:mill-max_0985-x-15-20-71-14-11-0","Generic connector, single row, 01x01",""
"J104, ","1","Conn_01x02_Female","Conn_01x02_Female","d4100_mod_board:Phoenix_BCH-508HS-2","Generic connector, single row, 01x02","https://www.mouser.com/ProductDetail/651-5433668"
"L201, ","1","33u","L","SamacSys_Parts:SRN4012TA","Inductor","https://www.mouser.com/ProductDetail/Bourns/SRN3015-330M?qs=opBjA1TV902tvMvccj590Q%3D%3D"
"L301, ","1","15u","L","SamacSys_Parts:WE-TPC_282892","Inductor","https://www.mouser.com/ProductDetail/Wurth-Elektronik/744025150?qs=%2Fha2pyFaduiSOj1d3psQ1J7H32KsdDY%2F41mzN%2FysqsgYOXpEL1OTYw%3D%3D"
"NT301, ","1","Net-Tie_2","Net-Tie_2","Oddities:NetTie-I_SMD","Net tie, 2 pins",""
"R101, R102, ","2","R","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
