Allegro Report
I:/BD_Boards/DLI_4100_2510300-Rev-D/Board/2510300_REV-D.brd
Tue Apr 12 06:54:07 2016

Net Name,Net Pins
APPS_CNTL_DPN,R208.1 U5.AF16 U11.F7
APPS_CNTL_DPP,R208.2 U5.AE16 U11.E7
APPS_LOGIC_RST#,R87.1 SW2.3 SW2.4 U5.T24
APPS_MIRROR_FLOAT#,R93.1 SW3.3 SW3.4 U5.P10
ARSTZ,U5.AF14 U11.AC13
BLKAD_0,U5.AK4 U11.E12
BLKAD_1,U5.AJ5 U11.D13
BLKAD_2,U5.AG5 U11.E13
BLKAD_3,U5.AH5 U11.F13
BLKMD_0,U5.AE14 U11.H13
BLKMD_1,U5.AG23 U11.H14
CLKIN_R,U5.AE18 U11.AD13
CLK_OSC_50M,R44.2 U5.AG21
COMP_DATA,U5.AF23 U11.G19
CS_B_0,R79.1 U11.N18
DAD_A_ADDR0,U11.E1 U13.19
DAD_A_ADDR1,U11.E2 U13.18
DAD_A_ADDR2,U11.E3 U13.17
DAD_A_ADDR3,U11.F3 U13.16
DAD_A_MODE0,U11.C1 U13.3
DAD_A_MODE1,U11.D1 U13.2
DAD_A_SCPENZ,U11.AE3 U13.58
DAD_A_SEL0,U11.AB12 U13.5
DAD_A_SEL1,U11.AC12 U13.4
DAD_A_STROBE,U11.AF3 U13.15
DAD_B_ADDR0,U11.E26 U14.19
DAD_B_ADDR1,U11.E25 U14.18
DAD_B_ADDR2,U11.F25 U14.17
DAD_B_ADDR3,U11.F24 U14.16
DAD_B_MODE0,U11.D26 U14.3
DAD_B_MODE1,U11.D25 U14.2
DAD_B_SCPENZ,U11.AB19 U14.58
DAD_B_SEL0,U11.R22 U14.5
DAD_B_SEL1,U11.R23 U14.4
DAD_B_STROBE,U11.AB20 U14.15
DAD_INIT,R63.1 R66.1 R67.1 R68.1 U11.AF4 U13.59 U14.59
DAD_OEZ,J10.1 R255.2 U11.AF5 U13.6
DDC_B11_VRN,R199.2 U11.L23
DDC_B11_VRP,R217.1 U11.L22
DDC_B12_VRN,R244.2 U11.M5
DDC_B12_VRP,R235.1 U11.M6
DDC_B15_VRN,R185.2 U11.D23
DDC_B15_VRP,R167.1 U11.C22
DDC_B16_VRN,R162.2 U11.A4
DDC_B16_VRP,R161.1 U11.A5
DDC_DCLKOUT_A_DPN,J13.5C U11.N1
DDC_DCLKOUT_A_DPP,J13.5B U11.M1
DDC_DCLKOUT_B_DPN,J13.21C U11.Y5
DDC_DCLKOUT_B_DPP,J13.21B U11.Y6
DDC_DCLKOUT_C_DPN,J14.5C U11.AA22
DDC_DCLKOUT_C_DPP,J14.5B U11.AB22
DDC_DCLKOUT_D_DPN,J14.21C U11.M26
DDC_DCLKOUT_D_DPP,J14.21B U11.M25
DDC_DCLK_A_DPN,R186.2 U5.AJ29 U11.B21
DDC_DCLK_A_DPP,R186.1 U5.AK29 U11.C21
DDC_DCLK_B_DPN,R177.2 U5.AH8 U11.A7
DDC_DCLK_B_DPP,R177.1 U5.AG8 U11.B7
DDC_DCLK_C_DPN,R231.2 U5.AA31 U11.K20
DDC_DCLK_C_DPP,R231.1 U5.AB31 U11.K21
DDC_DCLK_D_DPN,R234.2 U5.W4 U11.L5
DDC_DCLK_D_DPP,R234.1 U5.Y4 U11.K5
DDC_DIN_A0_DPN,R173.2 U5.AA26 U11.A15
DDC_DIN_A0_DPP,R173.1 U5.AA25 U11.A14
DDC_DIN_A10_DPN,R180.2 U5.AH25 U11.A22
DDC_DIN_A10_DPP,R180.1 U5.AJ25 U11.B22
DDC_DIN_A11_DPN,R175.2 U5.AG25 U11.A24
DDC_DIN_A11_DPP,R175.1 U5.AF24 U11.A23
DDC_DIN_A12_DPN,R166.2 U5.AG26 U11.C23
DDC_DIN_A12_DPP,R166.1 U5.AG27 U11.B24
DDC_DIN_A13_DPN,R194.2 U5.AF26 U11.C24
DDC_DIN_A13_DPP,R194.1 U5.AF25 U11.D24
DDC_DIN_A14_DPN,R179.2 U5.AE26 U11.A25
DDC_DIN_A14_DPP,R179.1 U5.AE27 U11.B25
DDC_DIN_A15_DPN,R188.2 U5.AC24 U11.C26
DDC_DIN_A15_DPP,R188.1 U5.AC25 U11.B26
DDC_DIN_A1_DPN,R189.2 U5.AC27 U11.B14
DDC_DIN_A1_DPP,R189.1 U5.AB27 U11.C14
DDC_DIN_A2_DPN,R182.2 U5.AA24 U11.B16
DDC_DIN_A2_DPP,R182.1 U5.Y24 U11.B15
DDC_DIN_A3_DPN,R198.2 U5.AB26 U11.C16
DDC_DIN_A3_DPP,R198.1 U5.AB25 U11.D16
DDC_DIN_A4_DPN,R176.2 U5.AD27 U11.A17
DDC_DIN_A4_DPP,R176.1 U5.AC28 U11.B17
DDC_DIN_A5_DPN,R164.2 U5.AA28 U11.C17
DDC_DIN_A5_DPP,R164.1 U5.AB28 U11.D18
DDC_DIN_A6_DPN,R170.2 U5.AH28 U11.A19
DDC_DIN_A6_DPP,R170.1 U5.AG28 U11.A18
DDC_DIN_A7_DPN,R163.2 U5.AF28 U11.C18
DDC_DIN_A7_DPP,R163.1 U5.AE28 U11.B19
DDC_DIN_A8_DPN,R195.2 U5.AK27 U11.D19
DDC_DIN_A8_DPP,R195.1 U5.AK28 U11.C19
DDC_DIN_A9_DPN,R178.2 U5.AJ26 U11.B20
DDC_DIN_A9_DPP,R178.1 U5.AH27 U11.A20
DDC_DIN_B0_DPN,R171.2 U5.AA11 U11.A12
DDC_DIN_B0_DPP,R171.1 U5.AA10 U11.A13
DDC_DIN_B10_DPN,R181.2 U5.AK7 U11.B6
DDC_DIN_B10_DPP,R181.1 U5.AK6 U11.B5
DDC_DIN_B11_DPN,R203.2 U5.AF9 U11.D4
DDC_DIN_B11_DPP,R203.1 U5.AE9 U11.D3
DDC_DIN_B12_DPN,R187.2 U5.AJ9 U11.B4
DDC_DIN_B12_DPP,R187.1 U5.AH9 U11.C4
DDC_DIN_B13_DPN,R193.2 U5.AG10 U11.C3
DDC_DIN_B13_DPP,R193.1 U5.AF10 U11.C2
DDC_DIN_B14_DPN,R174.2 U5.AK8 U11.A3
DDC_DIN_B14_DPP,R174.1 U5.AK9 U11.A2
DDC_DIN_B15_DPN,R184.2 U5.AF11 U11.B2
DDC_DIN_B15_DPP,R184.1 U5.AG11 U11.B1
DDC_DIN_B1_DPN,R190.2 U5.AA9 U11.B12
DDC_DIN_B1_DPP,R190.1 U5.AA8 U11.C13
DDC_DIN_B2_DPN,R201.2 U5.AB10 U11.D10
DDC_DIN_B2_DPP,R201.1 U5.AB11 U11.D11
DDC_DIN_B3_DPN,R191.2 U5.AB7 U11.C12
DDC_DIN_B3_DPP,R191.1 U5.AB8 U11.C11
DDC_DIN_B4_DPN,R165.2 U5.AC7 U11.A10
DDC_DIN_B4_DPP,R165.1 U5.AC8 U11.B11
DDC_DIN_B5_DPN,R196.2 U5.AJ6 U11.D9
DDC_DIN_B5_DPP,R196.1 U5.AJ7 U11.C9
DDC_DIN_B6_DPN,R183.2 U5.AD7 U11.B10
DDC_DIN_B6_DPP,R183.1 U5.AE7 U11.B9
DDC_DIN_B7_DPN,R172.2 U5.AH7 U11.A8
DDC_DIN_B7_DPP,R172.1 U5.AG7 U11.A9
DDC_DIN_B8_DPN,R202.2 U5.AF8 U11.D6
DDC_DIN_B8_DPP,R202.1 U5.AE8 U11.D5
DDC_DIN_B9_DPN,R192.2 U5.AD10 U11.C7
DDC_DIN_B9_DPP,R192.1 U5.AC10 U11.C6
DDC_DIN_C0_DPN,R206.2 U5.V24 U11.E20
DDC_DIN_C0_DPP,R206.1 U5.W24 U11.E21
DDC_DIN_C10_DPN,R240.2 U5.AE31 U11.M19
DDC_DIN_C10_DPP,R240.1 U5.AD31 U11.M20
DDC_DIN_C11_DPN,R239.2 U5.AC29 U11.M21
DDC_DIN_C11_DPP,R239.1 U5.AD30 U11.M22
DDC_DIN_C12_DPN,R246.2 U5.AG31 U11.N19
DDC_DIN_C12_DPP,R246.1 U5.AF31 U11.P19
DDC_DIN_C13_DPN,R242.2 U5.AD29 U11.N21
DDC_DIN_C13_DPP,R242.1 U5.AE29 U11.N22
DDC_DIN_C14_DPN,R250.2 U5.AK31 U11.P20
DDC_DIN_C14_DPP,R250.1 U5.AJ31 U11.P21
DDC_DIN_C15_DPN,R247.2 U5.AF30 U11.N23
DDC_DIN_C15_DPP,R247.1 U5.AF29 U11.P23
DDC_DIN_C1_DPN,R212.2 U5.W26 U11.F20
DDC_DIN_C1_DPP,R212.1 U5.Y26 U11.G20
DDC_DIN_C2_DPN,R224.2 U5.W25 U11.H19
DDC_DIN_C2_DPP,R224.1 U5.V25 U11.J19
DDC_DIN_C3_DPN,R205.2 U5.W27 U11.E23
DDC_DIN_C3_DPP,R205.1 U5.Y27 U11.E22
DDC_DIN_C4_DPN,R209.2 U5.W30 U11.F23
DDC_DIN_C4_DPP,R209.1 U5.V30 U11.F22
DDC_DIN_C5_DPN,R215.2 U5.V27 U11.G22
DDC_DIN_C5_DPP,R215.1 U5.V28 U11.G21
DDC_DIN_C6_DPN,R229.2 U5.Y31 U11.J20
DDC_DIN_C6_DPP,R229.1 U5.W31 U11.J21
DDC_DIN_C7_DPN,R221.2 U5.V29 U11.H22
DDC_DIN_C7_DPP,R221.1 U5.W29 U11.H21
DDC_DIN_C8_DPN,R223.2 U5.AB30 U11.J23
DDC_DIN_C8_DPP,R223.1 U5.AC30 U11.H23
DDC_DIN_C9_DPN,R230.2 U5.AA30 U11.K22
DDC_DIN_C9_DPP,R230.1 U5.AA29 U11.K23
DDC_DIN_D0_DPN,R254.2 U5.W11 U11.T3
DDC_DIN_D0_DPP,R254.1 U5.Y11 U11.R3
DDC_DIN_D10_DPN,R225.2 U5.AD4 U11.H7
DDC_DIN_D10_DPP,R225.1 U5.AC4 U11.J6
DDC_DIN_D11_DPN,R218.2 U5.AD6 U11.G4
DDC_DIN_D11_DPP,R218.1 U5.AD5 U11.H4
DDC_DIN_D12_DPN,R220.2 U5.AF4 U11.G5
DDC_DIN_D12_DPP,R220.1 U5.AE4 U11.H6
DDC_DIN_D13_DPN,R216.2 U5.AE6 U11.G7
DDC_DIN_D13_DPP,R216.1 U5.AF5 U11.G6
DDC_DIN_D14_DPN,R210.2 U5.AJ4 U11.F4
DDC_DIN_D14_DPP,R210.1 U5.AH4 U11.F5
DDC_DIN_D15_DPN,R207.2 U5.AG6 U11.E5
DDC_DIN_D15_DPP,R207.1 U5.AF6 U11.E6
DDC_DIN_D1_DPN,R253.2 U5.Y9 U11.R5
DDC_DIN_D1_DPP,R253.1 U5.W9 U11.R6
DDC_DIN_D2_DPN,R252.2 U5.V10 U11.R7
DDC_DIN_D2_DPP,R252.1 U5.W10 U11.P6
DDC_DIN_D3_DPN,R245.2 U5.V8 U11.N3
DDC_DIN_D3_DPP,R245.1 U5.V9 U11.P3
DDC_DIN_D4_DPN,R251.2 U5.V7 U11.P4
DDC_DIN_D4_DPP,R251.1 U5.W7 U11.P5
DDC_DIN_D5_DPN,R243.2 U5.V5 U11.N6
DDC_DIN_D5_DPP,R243.1 U5.W5 U11.N7
DDC_DIN_D6_DPN,R241.2 U5.Y8 U11.N4
DDC_DIN_D6_DPP,R241.1 U5.Y7 U11.M4
DDC_DIN_D7_DPN,R238.2 U5.W6 U11.M7
DDC_DIN_D7_DPP,R238.1 U5.Y6 U11.L7
DDC_DIN_D8_DPN,R232.2 U5.AB5 U11.K7
DDC_DIN_D8_DPP,R232.1 U5.AA4 U11.K6
DDC_DIN_D9_DPN,R226.2 U5.AC5 U11.J4
DDC_DIN_D9_DPP,R226.1 U5.AB6 U11.J5
DDC_DOUT_A0_DPN,J13.10E U11.AE2
DDC_DOUT_A0_DPP,J13.10D U11.AF2
DDC_DOUT_A10_DPN,J13.4E U11.K1
DDC_DOUT_A10_DPP,J13.4D U11.L2
DDC_DOUT_A11_DPN,J13.3C U11.K2
DDC_DOUT_A11_DPP,J13.3B U11.K3
DDC_DOUT_A12_DPN,J13.3F U11.J3
DDC_DOUT_A12_DPP,J13.3E U11.H3
DDC_DOUT_A13_DPN,J13.2B U11.H2
DDC_DOUT_A13_DPP,J13.2A U11.J1
DDC_DOUT_A14_DPN,J13.2E U11.H1
DDC_DOUT_A14_DPP,J13.2D U11.G1
DDC_DOUT_A15_DPN,J13.1F U11.G2
DDC_DOUT_A15_DPP,J13.1E U11.F2
DDC_DOUT_A1_DPN,J13.9C U11.AD1
DDC_DOUT_A1_DPP,J13.9B U11.AE1
DDC_DOUT_A2_DPN,J13.9F U11.AC1
DDC_DOUT_A2_DPP,J13.9E U11.AC2
DDC_DOUT_A3_DPN,J13.8B U11.AB1
DDC_DOUT_A3_DPP,J13.8A U11.AB2
DDC_DOUT_A4_DPN,J13.8E U11.Y2
DDC_DOUT_A4_DPP,J13.8D U11.AA2
DDC_DOUT_A5_DPN,J13.7C U11.W1
DDC_DOUT_A5_DPP,J13.7B U11.Y1
DDC_DOUT_A6_DPN,J13.7F U11.V1
DDC_DOUT_A6_DPP,J13.7E U11.V2
DDC_DOUT_A7_DPN,J13.6B U11.U1
DDC_DOUT_A7_DPP,J13.6A U11.U2
DDC_DOUT_A8_DPN,J13.5F U11.R2
DDC_DOUT_A8_DPP,J13.5E U11.T2
DDC_DOUT_A9_DPN,J13.4B U11.N2
DDC_DOUT_A9_DPP,J13.4A U11.M2
DDC_DOUT_B0_DPN,J13.16E U11.AE5
DDC_DOUT_B0_DPP,J13.16D U11.AE6
DDC_DOUT_B10_DPN,J13.22E U11.W6
DDC_DOUT_B10_DPP,J13.22D U11.W5
DDC_DOUT_B11_DPN,J13.23C U11.V7
DDC_DOUT_B11_DPP,J13.23B U11.V6
DDC_DOUT_B12_DPN,J13.23F U11.U4
DDC_DOUT_B12_DPP,J13.23E U11.V3
DDC_DOUT_B13_DPN,J13.24B U11.T4
DDC_DOUT_B13_DPP,J13.24A U11.T5
DDC_DOUT_B14_DPN,J13.24E U11.U6
DDC_DOUT_B14_DPP,J13.24D U11.U5
DDC_DOUT_B15_DPN,J13.25C U11.U7
DDC_DOUT_B15_DPP,J13.25B U11.T7
DDC_DOUT_B1_DPN,J13.17C U11.AD3
DDC_DOUT_B1_DPP,J13.17B U11.AD4
DDC_DOUT_B2_DPN,J13.17F U11.AD5
DDC_DOUT_B2_DPP,J13.17E U11.AD6
DDC_DOUT_B3_DPN,J13.18B U11.AC3
DDC_DOUT_B3_DPP,J13.18A U11.AC4
DDC_DOUT_B4_DPN,J13.18E U11.AB5
DDC_DOUT_B4_DPP,J13.18D U11.AB6
