Component Report
I:/BD_Boards/DLI_4100_2510300-Rev-D/Board/2510300_REV-D.brd
Tue Apr 12 06:54:06 2016
Total Components:  689
REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
BT5,BATTERY_12MM_12MM,12MM,,12MM,808.00,420.00,0.000,YES
C1,CAP NP_1210_10UF,10uF,,1210,540.00,3780.00,180.000,NO
C2,CAP POL_TANT_B_33UF,33uF,,TANT_B,3830.00,3780.00,0.000,NO
C3,CAP POL_TANT_B_33UF,33uF,,TANT_B,4249.00,3779.00,0.000,NO
C4,CAP POL_TANT_B_33UF,33uF,,TANT_B,3548.00,3778.00,0.000,NO
C5,CAP NP_1210_10UF,10uF,,1210,880.00,3770.00,0.000,NO
C6,CAP POL_TANT_B_33UF,33uF,,TANT_B,3038.00,3759.00,0.000,NO
C7,CAP NP_1210_10UF,10uF,,1210,700.00,3700.00,90.000,NO
C8,CAP POL_TANT_B_47UF,47uF,,TANT_B,4780.00,3650.00,0.000,NO
C9,CAP NP_0603_0.1UF,0.1uF,,0603,6830.00,3650.00,0.000,NO
C10,CAP NP_0603_1UF,1uF,,0603,1060.00,3620.00,90.000,NO
C11,CAP NP_0402_1000PF,1000pF,,0402,470.00,3590.00,180.000,NO
C12,CAP NP_0603_0.1UF,0.1uF,,0603,6830.00,3590.00,0.000,NO
C13,CAP NP_0603_0.1UF,0.1uF,,0603,1880.00,3500.00,180.000,NO
C14,CAP NP_0603_0.1UF,0.1uF,,0603,1060.00,3490.00,270.000,NO
C15,CAP NP_0603_0.1UF,0.1uF,,0603,2160.00,3490.00,180.000,NO
C16,CAP NP_0402_0.047UF,0.047uF,,0402,2170.00,3430.00,180.000,NO
C17,CAP NP_0603_0.01UF,0.01uF,,0603,920.00,3400.00,180.000,NO
C18,CAP NP_0603_0.1UF,0.1uF,,0603,6415.00,3395.00,0.000,NO
C19,CAP NP_0603_0.1UF,0.1uF,,0603,6560.00,3395.00,0.000,NO
C20,CAP NP_0603_0.1UF,0.1uF,,0603,1800.00,3390.00,90.000,NO
C21,CAP NP_0603_1UF,1uF,,0603,6015.00,3380.00,90.000,NO
C22,CAP NP_0603_0.01UF,0.01uF,,0603,650.00,3360.00,270.000,NO
C23,CAP POL_TANT_A_10UF,10uF,,TANT_A,7050.00,3327.50,0.000,NO
C24,CAP NP_0603_0.1UF,0.1uF,,0603,6415.00,3300.00,0.000,NO
C25,CAP NP_0603_0.1UF,0.1uF,,0603,6565.00,3300.00,0.000,NO
C26,CAP NP_0603_0.1UF,0.1uF,,0603,7165.00,3230.00,180.000,NO
C27,CAP POL_TANT_A_10UF,10uF,,TANT_A,710.00,3220.50,0.000,NO
C28,CAP POL_TANT_A_10UF,10uF,,TANT_A,1900.00,3210.00,270.000,NO
C29,CAP NP_0603_0.01UF,0.01uF,,0603,5740.00,3190.00,0.000,NO
C30,CAP NP_0603_0.01UF,0.01uF,,0603,4736.00,3035.00,90.000,NO
C31,CAP POL_TANT_B_47UF,47uF,,TANT_B,5040.00,3000.00,0.000,NO
C32,CAP NP_0603_0.1UF,0.1uF,,0603,902.00,2978.00,0.000,NO
C33,CAP NP_0603_0.01UF,0.01uF,,0603,660.00,2950.00,0.000,NO
C34,CAP NP_0603_0.01UF,0.01uF,,0603,4705.00,2933.00,180.000,NO
C35,CAP NP_0603_0.01UF,0.01uF,,0603,1110.00,2920.00,0.000,NO
C36,CAP NP_0603_0.1UF,0.1uF,,0603,5175.00,2875.00,270.000,NO
C37,CAP NP_0603_0.1UF,0.1uF,,0603,7340.00,2820.00,270.000,NO
